Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
56A,4,64,100,8059.529,2390.643,776.18,553.918,602.835,491.188,White LED,12.5 mA,b'OK Read',9:54:23
56A,4,64,100,15505.99,4451.814,1325.051,857.983,910.777,683.393,White LED,25 mA,b'OK Read',9:54:25
56A,4,64,100,28954.075,8186.699,2325.769,1416.615,1474.467,1034.241,White LED,50 mA,b'OK Read',9:54:26
56A,4,64,100,34367.727,9639.008,2741.58,1649.968,1693.68,1177.631,White LED,100 mA,b'OK Read',9:54:27
56A,4,64,150,8035.628,2386.25,776.18,553.132,601.965,490.171,White LED,12.5 mA,b'OK Read',9:54:29
56A,4,64,150,15480.894,4447.422,1325.051,859.555,911.647,685.426,White LED,25 mA,b'OK Read',9:54:30
56A,4,64,150,28825.006,8172.642,2321.149,1417.401,1471.857,1033.224,White LED,50 mA,b'OK Read',9:54:31
56A,4,64,150,34410.749,9675.03,2757.288,1660.968,1698.029,1179.666,White LED,100 mA,b'OK Read',9:54:32
56A,4,64,200,8032.64,2384.053,777.566,553.918,601.53,491.188,White LED,12.5 mA,b'OK Read',9:54:33
56A,4,64,200,15470.138,4446.543,1326.437,860.34,910.777,684.918,White LED,25 mA,b'OK Read',9:54:35
56A,4,64,200,28749.719,8160.342,2325.769,1418.973,1470.552,1032.716,White LED,50 mA,b'OK Read',9:54:36
56A,4,64,200,34434.053,9690.406,2770.687,1666.468,1701.509,1183.733,White LED,100 mA,b'OK Read',9:54:37
56A,4,64,250,8029.414,2383.79,778.398,555.332,601.269,491.798,White LED,12.5 mA,b'OK Read',9:54:38
56A,4,64,250,15453.647,4444.961,1326.159,859.869,912.343,685.833,White LED,25 mA,b'OK Read',9:54:40
56A,4,64,250,28727.49,8150.853,2328.541,1418.972,1471.857,1033.631,White LED,50 mA,b'OK Read',9:54:41
56A,4,64,250,34420.789,9704.902,2775.399,1670.71,1705.684,1183.733,White LED,100 mA,b'OK Read',9:54:43
56B,1,64,50,7507.409,1818.681,770.636,551.561,615.884,469.832,White LED,12.5 mA,b'OK Read',9:54:54
56B,1,64,50,14390.993,3421.229,1308.418,843.841,902.948,640.681,White LED,25 mA,b'OK Read',9:54:55
56B,1,64,50,26896.17,6362.747,2295.276,1390.688,1424.883,945.766,White LED,50 mA,b'OK Read',9:54:57
