Fruit,Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time,spot,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
1,Fruit 1 spot 1,4,64,50,14010.962,2066.443,1862.833,1117.264,908.167,549.154,White LED,25 mA,b'OK Read',09:00:44,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,50,23712.512,3605.733,3271.046,1970.533,1456.199,848.139,White LED,50 mA,b'OK Read',09:00:45,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,50,26982.215,4148.701,3775.562,2276.956,1649.315,951.868,White LED,100 mA,b'OK Read',09:00:46,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,100,7231.348,1049.036,961.909,579.846,532.374,344.747,White LED,12.5 mA,b'OK Read',09:00:47,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,100,13975.11,2047.993,1848.972,1103.122,905.558,546.104,White LED,25 mA,b'OK Read',09:00:48,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,100,23708.928,3579.375,3290.45,1982.319,1456.199,851.19,White LED,50 mA,b'OK Read',09:00:49,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,100,27018.067,4193.509,3842.093,2324.098,1659.754,961.021,White LED,100 mA,b'OK Read',09:00:50,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,150,7218.202,1045.522,960.985,579.846,532.374,347.798,White LED,12.5 mA,b'OK Read',09:00:51,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,150,13932.087,2045.357,1853.592,1109.407,906.427,551.188,White LED,25 mA,b'OK Read',09:00:52,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,150,23719.683,3628.576,3333.879,2012.961,1468.378,858.308,White LED,50 mA,b'OK Read',09:00:53,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,150,27032.409,4262.917,3908.622,2372.811,1677.152,972.207,White LED,100 mA,b'OK Read',09:00:54,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,200,7215.215,1047.718,963.295,582.203,538.898,353.9,White LED,12.5 mA,b'OK Read',09:00:55,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,200,13921.332,2049.311,1860.061,1113.728,913.386,553.731,White LED,25 mA,b'OK Read',09:00:56,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,200,23751.951,3663.719,3368.068,2037.71,1475.772,864.919,White LED,50 mA,b'OK Read',09:00:57,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,200,27050.334,4305.529,3941.887,2395.989,1685.85,974.75,White LED,100 mA,b'OK Read',09:00:59,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,250,7213.422,1047.982,963.572,582.674,539.681,352.679,White LED,12.5 mA,b'OK Read',09:01:00,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,250,13910.576,2052.737,1862.833,1115.378,912.343,554.036,White LED,25 mA,b'OK Read',09:01:02,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,250,23736.893,3679.534,3381.928,2048.789,1478.12,864.003,White LED,50 mA,b'OK Read',09:01:04,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,250,27065.393,4320.553,3950.758,2402.353,1687.938,972.614,White LED,100 mA,b'OK Read',09:01:06,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,50,7722.521,1170.282,975.769,584.56,459.303,262.374,White LED,12.5 mA,b'OK Read',09:07:49,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,50,14921.603,2282.576,1879.465,1112.55,850.755,482.036,White LED,25 mA,b'OK Read',09:07:51,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,50,24221.611,3853.495,3215.604,1928.106,1377.909,774.918,White LED,50 mA,b'OK Read',09:07:52,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,50,27441.121,4454.45,3692.4,2206.243,1571.025,878.648,White LED,100 mA,b'OK Read',09:07:53,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,100,7661.572,1186.096,989.63,589.274,461.913,259.323,White LED,12.5 mA,b'OK Read',09:07:54,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,100,14821.217,2295.755,1885.009,1112.55,853.364,478.985,White LED,25 mA,b'OK Read',09:07:55,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,100,24182.175,3848.223,3201.744,1902.178,1380.519,774.918,White LED,50 mA,b'OK Read',09:07:56,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,100,27476.973,4470.265,3720.122,2220.385,1576.244,881.698,White LED,100 mA,b'OK Read',09:07:57,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
