Fruit,Unnamed: 0,Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,spot,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
1,75,Fruit 1 spot 1,4,64,200,18102.152,21458.008,52973.242,53290.181,43770.478,13071.644,White LED,100 mA,b'OK Read',08:58:35,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,76,Fruit 1 spot 1,4,64,250,4918.852,5828.101,14236.769,14355.295,11900.567,3568.912,White LED,12.5 mA,b'OK Read',08:58:37,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,77,Fruit 1 spot 1,4,64,250,9546.426,11362.665,27829.438,28037.15,23109.207,6898.491,White LED,25 mA,b'OK Read',08:58:38,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,78,Fruit 1 spot 1,4,64,250,15929.894,18938.586,46723.051,46973.355,38595.898,11521.021,White LED,50 mA,b'OK Read',08:58:40,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,79,Fruit 1 spot 1,4,64,250,18125.055,21452.525,52962.238,53239.766,43738.617,13058.807,White LED,100 mA,b'OK Read',08:58:42,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,80,Fruit 1 spot 2,1,64,50,5320.535,5791.561,14009.186,14505.583,13007.838,4277.743,White LED,12.5 mA,b'OK Read',09:05:50,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,81,Fruit 1 spot 2,1,64,50,10347.442,11266.443,27401.111,28316.8,25317.141,8321.654,White LED,25 mA,b'OK Read',09:05:51,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,82,Fruit 1 spot 2,1,64,50,13777.016,14938.695,36531.235,37714.514,33751.469,11113.878,White LED,50 mA,b'OK Read',09:05:52,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,83,Fruit 1 spot 2,1,64,50,15239.281,16473.367,40363.633,41652.422,37296.057,12283.036,White LED,100 mA,b'OK Read',09:05:53,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,84,Fruit 1 spot 2,1,64,100,5317.599,5751.976,13928.674,14424.732,12967.72,4275.45,White LED,12.5 mA,b'OK Read',09:05:54,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,85,Fruit 1 spot 2,1,64,100,10353.316,11199.453,27272.29,28166.987,25262.864,8321.654,White LED,25 mA,b'OK Read',09:05:55,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,86,Fruit 1 spot 2,1,64,100,13826.931,14908.245,36520.5,37664.575,33777.429,11145.973,White LED,50 mA,b'OK Read',09:05:56,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,87,Fruit 1 spot 2,1,64,100,15283.325,16424.647,40285.803,41528.769,37395.173,12340.348,White LED,100 mA,b'OK Read',09:05:57,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,88,Fruit 1 spot 2,1,64,150,5322.493,5706.301,13851.74,14305.833,12949.626,4268.573,White LED,12.5 mA,b'OK Read',09:05:58,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,89,Fruit 1 spot 2,1,64,150,10351.358,11091.864,27068.325,27923.643,25208.586,8306.37,White LED,25 mA,b'OK Read',09:05:59,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,90,Fruit 1 spot 2,1,64,150,13882.721,14833.135,36411.361,37500.495,33839.574,11162.784,White LED,50 mA,b'OK Read',09:06:00,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,91,Fruit 1 spot 2,1,64,150,15346.945,16345.477,40141.777,41316.338,37423.493,12330.413,White LED,100 mA,b'OK Read',09:06:01,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,92,Fruit 1 spot 2,1,64,200,5310.258,5639.311,13773.016,14196.446,12942.941,4255.964,White LED,12.5 mA,b'OK Read',09:06:02,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,93,Fruit 1 spot 2,1,64,200,10326.888,10960.422,26889.856,27685.449,25186.167,8278.097,White LED,25 mA,b'OK Read',09:06:03,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,94,Fruit 1 spot 2,1,64,200,13859.231,14678.348,36197.107,37221.086,33818.726,11127.633,White LED,50 mA,b'OK Read',09:06:04,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,95,Fruit 1 spot 2,1,64,200,15309.752,16170.391,39951.677,41068.633,37381.016,12286.475,White LED,100 mA,b'OK Read',09:06:06,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,96,Fruit 1 spot 2,1,64,250,5298.219,5602.772,13715.047,14131.766,12936.097,4243.814,White LED,12.5 mA,b'OK Read',09:06:07,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,97,Fruit 1 spot 2,1,64,250,10309.858,10891.301,26838.596,27584.385,25171.771,8261.133,White LED,25 mA,b'OK Read',09:06:09,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,98,Fruit 1 spot 2,1,64,250,13815.773,14550.154,36033.129,37009.684,33803.387,11090.953,White LED,50 mA,b'OK Read',09:06:11,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,99,Fruit 1 spot 2,1,64,250,15272.168,16038.543,39811.852,40850.574,37324.375,12245.44,White LED,100 mA,b'OK Read',09:06:13,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,100,Fruit 1 spot 2,2,64,50,5279.427,5584.502,13730.076,14129.863,12993.678,4250.233,White LED,12.5 mA,b'OK Read',09:06:17,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,101,Fruit 1 spot 2,2,64,50,10271.1,10852.326,26891.196,27608.164,25307.702,8262.05,White LED,25 mA,b'OK Read',09:06:18,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,102,Fruit 1 spot 2,2,64,50,13700.672,14475.857,35962.281,36891.738,33746.75,11026.764,White LED,50 mA,b'OK Read',09:06:19,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,103,Fruit 1 spot 2,2,64,50,15151.192,15980.079,39746.37,40777.332,37310.217,12186.753,White LED,100 mA,b'OK Read',09:06:20,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,104,Fruit 1 spot 2,2,64,100,5282.363,5563.187,13703.239,14084.683,12962.999,4238.771,White LED,12.5 mA,b'OK Read',09:06:21,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,105,Fruit 1 spot 2,2,64,100,10276.971,10824.921,26783.848,27496.401,25201.506,8239.125,White LED,25 mA,b'OK Read',09:06:22,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,106,Fruit 1 spot 2,2,64,100,13706.544,14408.867,35836.143,36741.926,33718.43,11006.131,White LED,50 mA,b'OK Read',09:06:23,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,107,Fruit 1 spot 2,2,64,100,15171.747,15937.45,39703.43,40701.235,37272.458,12191.338,White LED,100 mA,b'OK Read',09:06:25,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,108,Fruit 1 spot 2,2,64,150,5271.597,5535.782,13671.033,14039.5,12937.04,4227.308,White LED,12.5 mA,b'OK Read',09:06:26,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,109,Fruit 1 spot 2,2,64,150,10275.015,10801.576,26746.274,27455.976,25173.973,8233.012,White LED,25 mA,b'OK Read',09:06:27,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,110,Fruit 1 spot 2,2,64,150,13724.162,14394.657,35840.615,36736.377,33720.003,11013.01,White LED,50 mA,b'OK Read',09:06:28,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,111,Fruit 1 spot 2,2,64,150,15227.536,15953.69,39937.809,40931.107,37500.583,12267.753,White LED,100 mA,b'OK Read',09:06:29,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,112,Fruit 1 spot 2,2,64,200,5269.15,5526.647,13648.221,14038.312,12928.781,4225.016,White LED,12.5 mA,b'OK Read',09:06:30,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,113,Fruit 1 spot 2,2,64,200,10266.694,10782.29,26696.626,27410.793,25160.208,8227.663,White LED,25 mA,b'OK Read',09:06:31,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,114,Fruit 1 spot 2,2,64,200,13822.527,14488.037,36109.885,37086.731,33926.103,11121.902,White LED,50 mA,b'OK Read',09:06:32,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,115,Fruit 1 spot 2,2,64,200,15415.458,16232.812,40309.958,41458.618,37786.919,12427.461,White LED,100 mA,b'OK Read',09:06:33,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,116,Fruit 1 spot 2,2,64,250,5300.568,5585.72,13712.9,14129.863,12942.704,4254.818,White LED,12.5 mA,b'OK Read',09:06:35,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,117,Fruit 1 spot 2,2,64,250,10298.113,10848.671,26733.393,27499.731,25168.94,8256.548,White LED,25 mA,b'OK Read',09:06:37,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,118,Fruit 1 spot 2,2,64,250,13927.353,14601.31,36310.094,37325.477,33995.957,11184.486,White LED,50 mA,b'OK Read',09:06:39,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,119,Fruit 1 spot 2,2,64,250,15500.022,16246.82,40322.84,41436.504,37717.066,12408.663,White LED,100 mA,b'OK Read',09:06:40,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
