Fruit,Unnamed: 0,Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time,Spot,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
1,15,Fruit 1 spot 1,1,64,200,27068.259,4397.781,4025.05,2453.738,1694.984,974.75,White LED,100 mA,b'OK Read',08:59:36,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,16,Fruit 1 spot 1,1,64,250,7216.291,1052.1989999999996,965.79,582.674,536.549,350.2390000000001,White LED,12.5 mA,b'OK Read',08:59:38,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,17,Fruit 1 spot 1,1,64,250,13947.862,2078.041,1892.771,1136.121,913.386,552.816,White LED,25 mA,b'OK Read',08:59:40,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,18,Fruit 1 spot 1,1,64,250,23761.271,3767.041,3458.438,2102.53,1487.515,866.444,White LED,50 mA,b'OK Read',08:59:42,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,19,Fruit 1 spot 1,1,64,250,27058.221,4413.332,4027.267,2456.095,1697.333,976.275,White LED,100 mA,b'OK Read',08:59:43,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,20,Fruit 1 spot 1,2,64,50,7277.956,1070.122,964.681,584.56,542.812,353.899,White LED,12.5 mA,b'OK Read',08:59:48,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,21,Fruit 1 spot 1,2,64,50,14061.155,2076.986,1885.009,1131.407,918.606,555.256,White LED,25 mA,b'OK Read',08:59:49,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,22,Fruit 1 spot 1,2,64,50,23712.512,3647.905,3326.487,2012.961,1466.638,854.24,White LED,50 mA,b'OK Read',08:59:50,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,23,Fruit 1 spot 1,2,64,50,27003.725,4196.144,3831.005,2314.669,1659.754,964.071,White LED,100 mA,b'OK Read',08:59:52,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,24,Fruit 1 spot 1,2,64,100,7252.859,1054.308,964.681,584.56,540.203,350.849,White LED,12.5 mA,b'OK Read',08:59:53,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,25,Fruit 1 spot 1,2,64,100,14000.206,2058.536,1862.833,1114.907,913.386,555.256,White LED,25 mA,b'OK Read',08:59:54,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,26,Fruit 1 spot 1,2,64,100,23726.853,3624.183,3340.347,2015.318,1469.247,860.342,White LED,50 mA,b'OK Read',08:59:55,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,27,Fruit 1 spot 1,2,64,100,27046.748,4251.496,3900.306,2364.169,1672.802,970.173,White LED,100 mA,b'OK Read',08:59:56,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,28,Fruit 1 spot 1,2,64,150,7234.933000000001,1049.036,962.833,581.4169999999998,539.3330000000002,351.866,White LED,12.5 mA,b'OK Read',08:59:57,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,29,Fruit 1 spot 1,2,64,150,13977.5,2059.414,1870.225,1120.407,913.386,555.256,White LED,25 mA,b'OK Read',08:59:58,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,30,Fruit 1 spot 1,2,64,150,23755.535,3679.534,3385.625,2049.103,1477.0770000000002,864.41,White LED,50 mA,b'OK Read',08:59:59,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,31,Fruit 1 spot 1,2,64,150,27061.091,4327.933,3965.912,2413.667,1684.111,974.241,White LED,100 mA,b'OK Read',09:00:00,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,32,Fruit 1 spot 1,2,64,200,7225.97,1051.672,964.681,583.381,538.898,350.849,White LED,12.5 mA,b'OK Read',09:00:01,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,33,Fruit 1 spot 1,2,64,200,13942.843,2065.125,1876.693,1126.692,912.082,553.731,White LED,25 mA,b'OK Read',09:00:02,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,34,Fruit 1 spot 1,2,64,200,23778.838,3716.435,3416.579,2073.067,1483.601,864.919,White LED,50 mA,b'OK Read',09:00:03,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,35,Fruit 1 spot 1,2,64,200,27080.808,4366.152,3990.398,2431.346,1693.68,974.75,White LED,100 mA,b'OK Read',09:00:04,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,36,Fruit 1 spot 1,2,64,250,7226.3290000000015,1051.145,965.79,583.617,537.5930000000002,350.2390000000001,White LED,12.5 mA,b'OK Read',09:00:06,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,37,Fruit 1 spot 1,2,64,250,13953.598999999998,2070.66,1882.792,1130.464,913.386,554.036,White LED,25 mA,b'OK Read',09:00:08,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,38,Fruit 1 spot 1,2,64,250,23755.535,3737.521,3428.4990000000007,2083.674,1485.428,866.444,White LED,50 mA,b'OK Read',09:00:10,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,39,Fruit 1 spot 1,2,64,250,27072.562,4376.431,3995.111,2434.41,1696.289,976.275,White LED,100 mA,b'OK Read',09:00:11,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,40,Fruit 1 spot 1,3,64,50,7263.615,1064.851,964.681,584.56,537.5930000000002,347.798,White LED,12.5 mA,b'OK Read',09:00:16,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,41,Fruit 1 spot 1,3,64,50,14039.643,2071.715,1873.921,1121.978,908.167,549.154,White LED,25 mA,b'OK Read',09:00:17,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,42,Fruit 1 spot 1,3,64,50,23712.512,3621.547,3287.678,1979.961,1456.1989999999996,848.1389999999999,White LED,50 mA,b'OK Read',09:00:18,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,43,Fruit 1 spot 1,3,64,50,27003.725,4169.787,3797.74,2295.812,1649.315,951.868,White LED,100 mA,b'OK Read',09:00:19,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,44,Fruit 1 spot 1,3,64,100,7242.104,1051.672,964.681,582.203,532.374,344.747,White LED,12.5 mA,b'OK Read',09:00:20,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,45,Fruit 1 spot 1,3,64,100,13985.865,2053.264,1857.289,1110.193,905.558,546.104,White LED,25 mA,b'OK Read',09:00:21,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,46,Fruit 1 spot 1,3,64,100,23708.928,3605.733,3315.399000000001,2001.175,1458.809,851.19,White LED,50 mA,b'OK Read',09:00:22,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,47,Fruit 1 spot 1,3,64,100,27057.505,4219.867,3869.813,2345.311,1662.3629999999996,961.021,White LED,100 mA,b'OK Read',09:00:23,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,48,Fruit 1 spot 1,3,64,150,7222.983,1047.279,960.985,581.4169999999998,532.374,345.764,White LED,12.5 mA,b'OK Read',09:00:24,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,49,Fruit 1 spot 1,3,64,150,13955.988,2052.386,1860.985,1114.121,906.427,549.155,White LED,25 mA,b'OK Read',09:00:25,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,50,Fruit 1 spot 1,3,64,150,23714.902,3654.933,3357.9040000000005,2031.818,1468.378,858.308,White LED,50 mA,b'OK Read',09:00:26,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,51,Fruit 1 spot 1,3,64,150,27056.31,4294.547000000001,3934.495,2391.668,1678.891,966.105,White LED,100 mA,b'OK Read',09:00:27,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,52,Fruit 1 spot 1,3,64,200,7217.007,1049.036,963.295,581.024,533.679,347.798,White LED,12.5 mA,b'OK Read',09:00:28,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,53,Fruit 1 spot 1,3,64,200,13948.22,2057.218,1866.991,1118.443,908.167,549.155,White LED,25 mA,b'OK Read',09:00:29,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,54,Fruit 1 spot 1,3,64,200,23766.292,3690.077,3388.859000000001,2054.21,1477.0770000000002,860.342,White LED,50 mA,b'OK Read',09:00:30,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,55,Fruit 1 spot 1,3,64,200,27057.505,4333.205,3962.678,2412.489,1688.46,973.224,White LED,100 mA,b'OK Read',09:00:32,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,56,Fruit 1 spot 1,3,64,250,7217.725,1050.091,963.572,582.674,536.549,350.2390000000001,White LED,12.5 mA,b'OK Read',09:00:33,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,57,Fruit 1 spot 1,3,64,250,13934.955,2061.172,1870.595,1121.978,910.255,551.595,White LED,25 mA,b'OK Read',09:00:35,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,58,Fruit 1 spot 1,3,64,250,23769.877,3708.0,3404.105,2063.874,1482.296,864.003,White LED,50 mA,b'OK Read',09:00:37,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,59,Fruit 1 spot 1,3,64,250,27065.393,4342.693,3969.608,2415.553,1688.9820000000002,973.834,White LED,100 mA,b'OK Read',09:00:39,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,60,Fruit 1 spot 1,4,64,50,7263.615,1064.851,964.681,584.56,532.374,347.798,White LED,12.5 mA,b'OK Read',09:00:43,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,61,Fruit 1 spot 1,4,64,50,14010.962,2066.443,1862.833,1117.264,908.167,549.154,White LED,25 mA,b'OK Read',09:00:44,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,62,Fruit 1 spot 1,4,64,50,23712.512,3605.733,3271.046,1970.533,1456.1989999999996,848.1389999999999,White LED,50 mA,b'OK Read',09:00:45,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,63,Fruit 1 spot 1,4,64,50,26982.215,4148.701,3775.562,2276.956,1649.315,951.868,White LED,100 mA,b'OK Read',09:00:46,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,64,Fruit 1 spot 1,4,64,100,7231.348000000001,1049.036,961.909,579.846,532.374,344.747,White LED,12.5 mA,b'OK Read',09:00:47,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,65,Fruit 1 spot 1,4,64,100,13975.11,2047.993,1848.972,1103.122,905.558,546.104,White LED,25 mA,b'OK Read',09:00:48,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,66,Fruit 1 spot 1,4,64,100,23708.928,3579.375,3290.45,1982.319,1456.1989999999996,851.19,White LED,50 mA,b'OK Read',09:00:49,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,67,Fruit 1 spot 1,4,64,100,27018.067000000006,4193.509,3842.093,2324.098,1659.754,961.021,White LED,100 mA,b'OK Read',09:00:50,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,68,Fruit 1 spot 1,4,64,150,7218.201999999998,1045.522,960.985,579.846,532.374,347.798,White LED,12.5 mA,b'OK Read',09:00:51,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,69,Fruit 1 spot 1,4,64,150,13932.087,2045.357,1853.592,1109.407,906.427,551.188,White LED,25 mA,b'OK Read',09:00:52,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,70,Fruit 1 spot 1,4,64,150,23719.683,3628.576,3333.879000000001,2012.961,1468.378,858.308,White LED,50 mA,b'OK Read',09:00:53,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,71,Fruit 1 spot 1,4,64,150,27032.409,4262.917,3908.622,2372.811,1677.152,972.207,White LED,100 mA,b'OK Read',09:00:54,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,72,Fruit 1 spot 1,4,64,200,7215.215,1047.718,963.295,582.203,538.898,353.9,White LED,12.5 mA,b'OK Read',09:00:55,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,73,Fruit 1 spot 1,4,64,200,13921.332,2049.311,1860.061,1113.728,913.386,553.731,White LED,25 mA,b'OK Read',09:00:56,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,74,Fruit 1 spot 1,4,64,200,23751.951,3663.719,3368.068,2037.71,1475.7720000000004,864.919,White LED,50 mA,b'OK Read',09:00:57,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,75,Fruit 1 spot 1,4,64,200,27050.334,4305.529,3941.887,2395.989,1685.85,974.75,White LED,100 mA,b'OK Read',09:00:59,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,76,Fruit 1 spot 1,4,64,250,7213.422,1047.982,963.572,582.674,539.681,352.6790000000001,White LED,12.5 mA,b'OK Read',09:01:00,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,77,Fruit 1 spot 1,4,64,250,13910.576,2052.737,1862.833,1115.378,912.343,554.036,White LED,25 mA,b'OK Read',09:01:02,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,78,Fruit 1 spot 1,4,64,250,23736.893,3679.534,3381.928,2048.789,1478.12,864.003,White LED,50 mA,b'OK Read',09:01:04,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,79,Fruit 1 spot 1,4,64,250,27065.393,4320.553,3950.758,2402.353,1687.938,972.614,White LED,100 mA,b'OK Read',09:01:06,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,80,Fruit 1 spot 2,1,64,50,7722.521,1170.282,975.769,584.56,459.30300000000005,262.374,White LED,12.5 mA,b'OK Read',09:07:49,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,81,Fruit 1 spot 2,1,64,50,14921.603,2282.576,1879.465,1112.55,850.755,482.036,White LED,25 mA,b'OK Read',09:07:51,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,82,Fruit 1 spot 2,1,64,50,24221.611,3853.495,3215.6040000000007,1928.106,1377.909,774.918,White LED,50 mA,b'OK Read',09:07:52,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,83,Fruit 1 spot 2,1,64,50,27441.121,4454.45,3692.4,2206.243,1571.025,878.648,White LED,100 mA,b'OK Read',09:07:53,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,84,Fruit 1 spot 2,1,64,100,7661.571999999999,1186.096,989.63,589.274,461.913,259.323,White LED,12.5 mA,b'OK Read',09:07:54,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,85,Fruit 1 spot 2,1,64,100,14821.217,2295.755,1885.009,1112.55,853.3639999999998,478.985,White LED,25 mA,b'OK Read',09:07:55,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,86,Fruit 1 spot 2,1,64,100,24182.175,3848.223,3201.744,1902.178,1380.519,774.918,White LED,50 mA,b'OK Read',09:07:56,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,87,Fruit 1 spot 2,1,64,100,27476.973,4470.265,3720.122,2220.385,1576.244,881.698,White LED,100 mA,b'OK Read',09:07:57,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,88,Fruit 1 spot 2,1,64,150,7634.085999999998,1172.039,985.01,586.132,461.043,260.34,White LED,12.5 mA,b'OK Read',09:07:58,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,89,Fruit 1 spot 2,1,64,150,14785.365,2294.876,1894.25,1120.407,852.4939999999998,477.968,White LED,25 mA,b'OK Read',09:07:59,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,90,Fruit 1 spot 2,1,64,150,24197.71,3914.996,3261.805,1948.534,1390.0870000000002,781.02,White LED,50 mA,b'OK Read',09:08:00,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,91,Fruit 1 spot 2,1,64,150,27474.583,4572.181,3797.739,2276.956,1593.642,890.8510000000001,White LED,100 mA,b'OK Read',09:08:01,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,92,Fruit 1 spot 2,1,64,200,7622.135,1172.917,985.472,588.096,460.608,260.849,White LED,12.5 mA,b'OK Read',09:08:03,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,93,Fruit 1 spot 2,1,64,200,14763.854,2306.298,1901.642,1127.871,854.669,478.985,White LED,25 mA,b'OK Read',09:08:04,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,94,Fruit 1 spot 2,1,64,200,24223.403,3953.6540000000014,3290.45,1969.355,1398.786,784.071,White LED,50 mA,b'OK Read',09:08:05,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,95,Fruit 1 spot 2,1,64,200,27521.787,4603.371,3817.144,2291.098,1602.341,892.3760000000002,White LED,100 mA,b'OK Read',09:08:06,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,96,Fruit 1 spot 2,1,64,250,7627.8719999999985,1173.445,986.858,589.274,460.347,259.933,White LED,12.5 mA,b'OK Read',09:08:07,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,97,Fruit 1 spot 2,1,64,250,14740.908,2307.88,1903.859,1131.407,855.9739999999998,479.595,White LED,25 mA,b'OK Read',09:08:09,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,98,Fruit 1 spot 2,1,64,250,24248.859,3971.577,3304.311,1979.019,1404.006,785.9010000000002,White LED,50 mA,b'OK Read',09:08:11,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,99,Fruit 1 spot 2,1,64,250,27504.221,4618.922000000001,3822.133,2294.87,1601.297,893.2919999999998,White LED,100 mA,b'OK Read',09:08:13,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,100,Fruit 1 spot 2,2,64,50,7665.158,1180.8239999999996,981.313,584.56,459.30300000000005,262.374,White LED,12.5 mA,b'OK Read',09:08:17,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,101,Fruit 1 spot 2,2,64,50,14828.388,2298.391,1885.009,1117.264,855.9739999999998,475.934,White LED,25 mA,b'OK Read',09:08:18,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,102,Fruit 1 spot 2,2,64,50,24142.737,3858.766,3176.795,1890.392,1377.909,768.816,White LED,50 mA,b'OK Read',09:08:20,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,103,Fruit 1 spot 2,2,64,50,27390.928,4428.0920000000015,3636.959,2168.529,1565.805,872.545,White LED,100 mA,b'OK Read',09:08:21,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,104,Fruit 1 spot 2,2,64,100,7632.891,1175.553,984.086,586.9169999999998,459.30300000000005,259.323,White LED,12.5 mA,b'OK Read',09:08:22,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,105,Fruit 1 spot 2,2,64,100,14771.024,2293.119,1876.693,1110.193,850.7539999999998,475.934,White LED,25 mA,b'OK Read',09:08:23,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,106,Fruit 1 spot 2,2,64,100,24157.078,3848.223,3185.111,1895.106,1377.909,774.918,White LED,50 mA,b'OK Read',09:08:24,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,107,Fruit 1 spot 2,2,64,100,27416.026,4467.629,3697.945,2210.957000000001,1576.244,881.698,White LED,100 mA,b'OK Read',09:08:25,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,108,Fruit 1 spot 2,2,64,150,7614.965,1170.282,981.314,584.56,459.30300000000005,260.34,White LED,12.5 mA,b'OK Read',09:08:26,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,109,Fruit 1 spot 2,2,64,150,14720.832,2293.119,1883.161,1115.693,850.7539999999998,477.968,White LED,25 mA,b'OK Read',09:08:27,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,110,Fruit 1 spot 2,2,64,150,24178.589,3906.21,3237.781,1934.391,1390.0870000000002,781.02,White LED,50 mA,b'OK Read',09:08:28,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,111,Fruit 1 spot 2,2,64,150,27436.341,4554.609,3768.171,2261.242,1588.4229999999998,888.817,White LED,100 mA,b'OK Read',09:08:29,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,112,Fruit 1 spot 2,2,64,200,7614.965,1172.917,984.086,586.9169999999998,460.608,260.849,White LED,12.5 mA,b'OK Read',09:08:30,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,113,Fruit 1 spot 2,2,64,200,14731.587,2302.345,1891.94,1123.157,852.059,478.985,White LED,25 mA,b'OK Read',09:08:31,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,114,Fruit 1 spot 2,2,64,200,24176.797,3941.793,3268.274000000001,1956.39,1394.872,782.545,White LED,50 mA,b'OK Read',09:08:32,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,115,Fruit 1 spot 2,2,64,200,27455.461,4587.557,3794.967,2278.134,1595.817,890.8510000000001,White LED,100 mA,b'OK Read',09:08:34,2,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
