Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
12B,1,64,200,2856.998,2215.226,5034.719,6001.982,9275.636,5648.638,White LED,12.5 mA,b'OK Read',09:52:03
12B,1,64,200,5504.053,4291.906,9838.635,11701.962,17724.124,10363.096,White LED,25 mA,b'OK Read',09:52:04
12B,1,64,200,10309.271,8032.67,18472.267,21935.532,32819.304,18759.254,White LED,50 mA,b'OK Read',09:52:06
12B,1,64,200,13310.147,10316.407,23908.206,28382.192,42290.81,24031.926,White LED,100 mA,b'OK Read',09:52:07
12B,1,64,250,2854.062,2214.313,5031.498,5996.275,9265.961,5642.219,White LED,12.5 mA,b'OK Read',09:52:09
12B,1,64,250,5504.934,4295.864,9833.268,11694.828,17709.729,10350.028,White LED,25 mA,b'OK Read',09:52:11
12B,1,64,250,10298.113,8018.054,18449.185,21895.344,32748.035,18713.863,White LED,50 mA,b'OK Read',09:52:13
12B,1,64,250,13295.466,10301.792,23921.893,28341.529,42250.93,23976.449,White LED,100 mA,b'OK Read',09:52:15
12B,2,64,50,2801.209,2216.749,5007.881,5973.446,9165.9,5506.504,White LED,12.5 mA,b'OK Read',09:52:18
12B,2,64,50,5414.496,4287.339,9801.063,11661.537,17680.465,10357.365,White LED,25 mA,b'OK Read',09:52:19
12B,2,64,50,10153.648,8032.669,18528.626,21986.658,32916.06,18834.906,White LED,50 mA,b'OK Read',09:52:20
12B,2,64,50,12954.857,10188.519,23810.249,28159.854,42105.562,23892.088,White LED,100 mA,b'OK Read',09:52:21
12B,2,64,100,2812.954,2201.524,5010.565,5963.934,9239.058,5637.175,White LED,12.5 mA,b'OK Read',09:52:22
12B,2,64,100,5414.496,4266.023,9782.276,11625.867,17640.347,10334.44,White LED,25 mA,b'OK Read',09:52:23
12B,2,64,100,10141.903,7977.859,18440.061,21858.247,32774.465,18756.962,White LED,50 mA,b'OK Read',09:52:24
12B,2,64,100,13022.391,10228.104,23778.045,28181.255,42070.161,23937.937,White LED,100 mA,b'OK Read',09:52:25
