Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
38B,2,64,250,37352.047,7131.337,2947.268,1988.447,2217.181,1430.243,White LED,50 mA,b'OK Read',09:47:11
38B,2,64,250,49133.016,9372.796,3867.596,2556.979,2774.607,1747.532,White LED,100 mA,b'OK Read',09:47:12
38B,3,64,50,10311.035,1987.37,992.402,801.413,965.58,732.206,White LED,12.5 mA,b'OK Read',09:47:16
38B,3,64,50,19740.111,3806.05,1674.332,1225.69,1414.444,988.478,White LED,25 mA,b'OK Read',09:47:17
38B,3,64,50,36906.05,7169.292,2943.941,2017.675,2233.883,1446.107,White LED,50 mA,b'OK Read',09:47:19
38B,3,64,50,48091.875,9288.451,3775.562,2531.523,2761.037,1751.193,White LED,100 mA,b'OK Read',09:47:20
38B,3,64,100,10314.62,2000.549,1014.578,815.556,968.19,738.308,White LED,12.5 mA,b'OK Read',09:47:21
38B,3,64,100,19743.696,3808.687,1677.104,1225.69,1414.444,988.478,White LED,25 mA,b'OK Read',09:47:22
38B,3,64,100,36812.834,7119.213,2910.676,1989.39,2233.883,1449.158,White LED,50 mA,b'OK Read',09:47:23
38B,3,64,100,48131.308,9277.908,3767.247,2522.094,2768.866,1754.244,White LED,100 mA,b'OK Read',09:47:24
38B,3,64,150,10282.353,1987.37,1010.883,817.127,972.539,744.41,White LED,12.5 mA,b'OK Read',09:47:25
38B,3,64,150,19699.479,3800.779,1672.484,1225.691,1421.403,996.614,White LED,25 mA,b'OK Read',09:47:26
38B,3,64,150,36365.879,7091.977,2884.803,1981.533,2233.883,1448.141,White LED,50 mA,b'OK Read',09:47:27
38B,3,64,150,47805.055,9281.422,3760.778,2526.808,2769.736,1761.362,White LED,100 mA,b'OK Read',09:47:28
38B,3,64,200,10147.909,1979.463,1007.648,819.091,974.714,745.935,White LED,12.5 mA,b'OK Read',09:47:29
38B,3,64,200,19664.822,3791.554,1677.104,1231.583,1427.493,1005.258,White LED,25 mA,b'OK Read',09:47:31
38B,3,64,200,37065.591,7086.266,2882.955,1916.32,2203.871,1333.225,White LED,50 mA,b'OK Read',09:47:32
38B,3,64,200,48570.498,9295.04,3763.088,2464.345,2678.832,1644.413,White LED,100 mA,b'OK Read',09:47:33
38B,3,64,250,10384.173,1971.555,971.334,745.785,870.588,637.019,White LED,12.5 mA,b'OK Read',09:47:34
38B,3,64,250,19930.844,3790.236,1642.176,1156.863,1323.628,887.19,White LED,25 mA,b'OK Read',09:47:36
38B,3,64,250,37035.117,7074.405,2885.173,1925.277,2139.934,1352.141,White LED,50 mA,b'OK Read',09:47:38
38B,3,64,250,48771.625,9320.08,3831.004,2551.322,2789.221,1775.6,White LED,100 mA,b'OK Read',09:47:40
38B,4,64,50,10418.592,1987.37,1009.035,815.556,976.019,756.613,White LED,12.5 mA,b'OK Read',09:47:43
38B,4,64,50,20012.586,3811.323,1690.964,1235.119,1430.102,1006.783,White LED,25 mA,b'OK Read',09:47:44
38B,4,64,50,37658.94,7169.292,2999.383,2041.246,2259.979,1476.616,White LED,50 mA,b'OK Read',09:47:46
38B,4,64,50,48715.698,9298.994,3814.372,2545.665,2781.914,1769.498,White LED,100 mA,b'OK Read',09:47:47
38B,4,64,100,10415.006,2003.185,1020.123,824.984,978.628,756.613,White LED,12.5 mA,b'OK Read',09:47:48
38B,4,64,100,20080.705,3813.958,1699.281,1235.119,1424.883,1003.732,White LED,25 mA,b'OK Read',09:47:49
38B,4,64,100,37400.806,7113.941,2938.397,1998.818,2252.15,1464.412,White LED,50 mA,b'OK Read',09:47:50
38B,4,64,100,48547.192,9262.093,3772.791,2519.737,2776.695,1760.345,White LED,100 mA,b'OK Read',09:47:51
38B,4,64,150,10373.179,1983.856,1012.73,817.127,967.32,750.511,White LED,12.5 mA,b'OK Read',09:47:52
38B,4,64,150,19895.47,3795.508,1676.18,1224.119,1423.143,996.614,White LED,25 mA,b'OK Read',09:47:53
38B,4,64,150,37197.646,7086.705,2923.613,1987.819,2237.362,1456.277,White LED,50 mA,b'OK Read',09:47:54
38B,4,64,150,48959.492,9277.908,3814.372,2531.522,2781.914,1763.396,White LED,100 mA,b'OK Read',09:47:55
38B,4,64,200,10402.457,1986.052,1011.806,814.377,966.885,744.409,White LED,12.5 mA,b'OK Read',09:47:56
38B,4,64,200,19987.49,3799.461,1682.648,1223.333,1415.749,994.58,White LED,25 mA,b'OK Read',09:47:57
38B,4,64,200,36965.205,7075.723,2809.495,1840.893,2201.262,1241.7,White LED,50 mA,b'OK Read',09:47:59
38B,4,64,200,49106.484,9297.676,3743.684,2433.703,2588.798,1610.854,White LED,100 mA,b'OK Read',09:48:00
38B,4,64,250,10379.871,1967.338,938.069,715.615,805.868,597.968,White LED,12.5 mA,b'OK Read',09:48:01
38B,4,64,250,20041.268,3800.779,1593.387,1102.179,1275.61,809.088,White LED,25 mA,b'OK Read',09:48:03
