Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
38B,1,64,200,54418.032,35830.334,78701.03,76235.156,70194.419,21314.209,White LED,100 mA,b'OK Read',09:55:07
38B,1,64,250,12968.951,8599.036,18484.611,17982.166,16769.539,5295.598,White LED,12.5 mA,b'OK Read',09:55:09
38B,1,64,250,25127.49,16673.117,36114.715,35128.238,32505.435,10110.694,White LED,25 mA,b'OK Read',09:55:10
38B,1,64,250,47473.738,31459.562,67195.789,62335.953,60099.422,18455.273,White LED,50 mA,b'Saturated Read',09:55:12
38B,1,64,250,54747.484,35989.281,70351.883,62335.953,61862.746,21673.896,White LED,100 mA,b'Saturated Read',09:55:14
38B,2,64,50,14452.359,9451.632,19521.614,19304.314,17888.137,6065.866,White LED,12.5 mA,b'OK Read',09:55:21
38B,2,64,50,28517.129,18696.206,38055.606,37310.259,34615.198,11338.54,White LED,25 mA,b'OK Read',09:55:22
38B,2,64,50,51337.881,33129.433,70942.304,68913.404,64076.348,20329.594,White LED,50 mA,b'OK Read',09:55:23
38B,2,64,50,60551.919,39182.861,82858.164,80769.932,74672.353,23841.653,White LED,100 mA,b'OK Read',09:55:25
38B,2,64,100,14235.074,9141.044,19301.546,18776.406,17602.588,5586.741,White LED,12.5 mA,b'OK Read',09:55:26
38B,2,64,100,27360.235,17514.752,37722.82,36656.318,34216.372,10792.933,White LED,25 mA,b'OK Read',09:55:27
38B,2,64,100,51417.158,32965.005,70995.981,69208.272,64017.349,20412.123,White LED,50 mA,b'OK Read',09:55:28
38B,2,64,100,60278.843,38561.685,82909.16,80577.319,74646.391,23582.605,White LED,100 mA,b'OK Read',09:55:29
38B,2,64,150,14370.143,9218.184,19410.685,18977.741,17693.052,5714.355,White LED,12.5 mA,b'OK Read',09:55:30
38B,2,64,150,28358.571,18308.478,38114.649,37319.772,34522.373,11194.879,White LED,25 mA,b'OK Read',09:55:31
38B,2,64,150,53244.502,34404.268,71364.551,69994.583,64284.017,20956.201,White LED,50 mA,b'OK Read',09:55:32
38B,2,64,150,62628.848,40406.947,83772.428,82325.124,75364.596,24705.148,White LED,100 mA,b'OK Read',09:55:33
38B,2,64,200,14979.42,9756.131,19539.058,19221.085,17805.539,5887.055,White LED,12.5 mA,b'OK Read',09:55:34
38B,2,64,200,28942.888,18784.51,38281.04,37863.135,34685.994,11579.249,White LED,25 mA,b'OK Read',09:55:35
38B,2,64,200,54570.723,35554.763,71496.499,70495.938,64417.353,21362.351,White LED,50 mA,b'OK Read',09:55:36
38B,2,64,200,63033.071,40515.044,83957.158,77919.941,75562.041,24645.161,White LED,100 mA,b'Saturated Read',09:55:38
38B,2,64,250,14674.342,9427.272,19618.229,19181.611,17936.279,5940.239,White LED,12.5 mA,b'OK Read',09:55:39
38B,2,64,250,28500.685,18334.461,38270.305,37350.211,34711.48,11276.185,White LED,25 mA,b'OK Read',09:55:41
38B,2,64,250,53005.684,33957.668,70351.883,62335.953,61862.746,20849.525,White LED,50 mA,b'Saturated Read',09:55:43
38B,2,64,250,62478.117,39857.633,70351.883,62335.953,61862.746,24488.129,White LED,100 mA,b'Saturated Read',09:55:45
38B,3,64,50,14411.251,10407.757,19172.726,19271.023,17477.512,6240.094,White LED,12.5 mA,b'OK Read',09:55:55
38B,3,64,50,28246.992,19761.95,37556.428,37586.103,33935.542,11824.542,White LED,25 mA,b'OK Read',09:55:56
38B,3,64,50,52688.565,36137.878,70872.53,70411.524,63543.003,21723.413,White LED,50 mA,b'OK Read',09:55:57
38B,3,64,50,61086.323,41576.22,82981.621,81968.428,74181.489,24854.922,White LED,100 mA,b'OK Read',09:55:58
38B,3,64,100,14605.045,9804.851,19489.408,19225.841,17645.066,5926.026,White LED,12.5 mA,b'OK Read',09:55:59
38B,3,64,100,28370.315,18741.88,38227.366,37559.946,34362.685,11313.323,White LED,25 mA,b'OK Read',09:56:00
38B,3,64,100,52682.695,35200.022,71363.652,70152.324,63807.315,21031.089,White LED,50 mA,b'OK Read',09:56:01
38B,3,64,100,61280.117,41180.371,82976.25,81809.106,74115.415,24644.016,White LED,100 mA,b'OK Read',09:56:02
38B,3,64,150,14548.278,9780.491,19460.781,19185.415,17615.96,5887.055,White LED,12.5 mA,b'OK Read',09:56:04
38B,3,64,150,28256.777,18929.655,38005.508,37446.595,34187.266,11364.522,White LED,25 mA,b'OK Read',09:56:05
38B,3,64,150,52441.921,35398.962,70698.978,69698.132,63259.818,21076.939,White LED,50 mA,b'OK Read',09:56:06
38B,3,64,150,61387.78,40928.652,82938.678,81673.561,74104.401,24588.997,White LED,100 mA,b'OK Read',09:56:07
38B,3,64,200,14524.298,9716.546,19557.844,19261.51,17767.782,6025.748,White LED,12.5 mA,b'OK Read',09:56:08
38B,3,64,200,28313.057,18818.005,38199.187,37555.19,34438.203,11489.843,White LED,25 mA,b'OK Read',09:56:09
38B,3,64,200,52618.096,35059.954,71194.58,69897.881,63751.855,21066.621,White LED,50 mA,b'OK Read',09:56:10
38B,3,64,200,61490.059,41311.309,82635.41,77919.941,73999.775,24931.721,White LED,100 mA,b'Saturated Read',09:56:11
38B,3,64,250,14553.367,9848.698,19378.838,19202.537,17632.322,6102.546,White LED,12.5 mA,b'OK Read',09:56:13
38B,3,64,250,28147.158,19232.123,37767.906,37406.328,34090.352,11609.051,White LED,25 mA,b'OK Read',09:56:15
38B,3,64,250,52399.637,35534.973,69932.141,62335.953,61862.746,21364.871,White LED,50 mA,b'Saturated Read',09:56:17
38B,3,64,250,61375.25,41690.711,70351.883,62335.953,61862.746,24940.203,White LED,100 mA,b'Saturated Read',09:56:18
38B,4,64,50,14599.173,10042.359,19548.451,19385.165,17765.421,6130.055,White LED,12.5 mA,b'OK Read',09:56:23
38B,4,64,50,28323.335,19146.864,38313.247,37762.073,34497.202,11526.522,White LED,25 mA,b'OK Read',09:56:24
38B,4,64,50,52735.547,35413.171,71876.25,70625.537,64340.655,21260.334,White LED,50 mA,b'OK Read',09:56:25
38B,4,64,50,61338.843,40845.425,83931.67,82268.047,75002.739,24621.092,White LED,100 mA,b'OK Read',09:56:26
38B,4,64,100,14646.154,9692.186,19709.476,19344.739,17888.137,5974.168,White LED,12.5 mA,b'OK Read',09:56:27
