Fruit,spot,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time,Fruit.1,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
19,1,64,50,0.549242401,0.473860571,0.465341989,0.385692787,0.421029869,0.577018802,0.583665297,0.643425864,0.701714683,0.819145577,1.410507346,0.797224488,1.277109952,1.143022935,0.922450003,0.989692579,0.640130791,0.570084829,b'White',100 mA,b'OK Read',09:01:05,19,52.18052706,376.9796785,6.192806111,44.74010111,13.84173472
19,2,64,50,0.507026646,0.429655966,0.413775843,0.358834332,0.395365638,0.516697246,0.556485018,0.611769466,0.71323984,0.791410569,1.403445244,0.791949296,1.287522759,1.155859834,0.951919748,1.106281985,0.627017464,0.542479371,b'White',100 mA,b'OK Read',09:09:36,19,52.18052706,376.9796785,6.192806111,44.74010111,13.84173472
19,3,64,50,0.545833661,0.480470322,0.483105285,0.373819249,0.406291093,0.600290442,0.568665273,0.624437601,0.755990723,0.810998984,1.761639153,0.802145621,1.615812832,1.439844454,1.14151499,1.272526244,0.639882054,0.557971127,b'White',100 mA,b'OK Read',09:18:11,19,52.18052706,376.9796785,6.192806111,44.74010111,13.84173472
20,1,64,50,0.527641362,0.49570224,0.527739391,0.360255668,0.402491729,0.662966148,0.545647144,0.603527532,0.835353417,0.781536321,2.11969607,0.810073986,1.929273326,1.781607979,1.264496542,1.464691271,0.617595199,0.519002971,b'White',100 mA,b'OK Read',09:31:51,20,55.77959379,410.0803277,6.678841411,49.10149551,13.60211403
20,2,64,50,0.508084992,0.495777093,0.566842927,0.350869662,0.399698026,0.753007014,0.564579728,0.60930426,0.858129948,0.787838123,2.295698853,0.798948596,2.156481058,2.016491828,1.401718522,1.678199995,0.617673979,0.527596096,b'White',100 mA,b'OK Read',09:40:12,20,55.77959379,410.0803277,6.678841411,49.10149551,13.60211403
20,3,64,50,0.580200937,0.573661199,0.605392609,0.381337082,0.423663852,0.72735297,0.539987057,0.602710557,0.816409942,0.786879294,1.987228307,0.789624459,1.95055599,1.733041884,1.325842275,1.45678482,0.638484588,0.554861462,b'White',100 mA,b'OK Read',09:48:15,20,55.77959379,410.0803277,6.678841411,49.10149551,13.60211403
21,1,64,50,0.521516405,0.435298086,0.412143988,0.384020238,0.427933359,0.524511086,0.553551329,0.603912112,0.627742856,0.759275823,1.074027735,0.729093274,0.95377691,0.865070978,0.753012729,0.854836968,0.617446579,0.553761572,b'White',100 mA,b'OK Read',10:14:24,21,58.0506706,489.8448507,7.241350635,61.10417475,11.85082798
21,2,64,50,0.517082121,0.472101104,0.499135305,0.359442876,0.400838795,0.601724209,0.532671341,0.579818597,0.669789132,0.750197149,1.407004773,0.730537611,1.347680627,1.286077519,0.966522466,1.07725642,0.596675744,0.523201794,b'White',100 mA,b'OK Read',10:32:59,21,58.0506706,489.8448507,7.241350635,61.10417475,11.85082798
21,3,64,50,0.533713569,0.460668725,0.467338319,0.380200272,0.419367009,0.578584427,0.568104613,0.60740305,0.651523845,0.756759656,1.416833651,0.749524363,1.262749706,1.277542446,0.956849264,1.13412285,0.62972104,0.561667997,b'White',100 mA,b'OK Read',10:41:22,21,58.0506706,489.8448507,7.241350635,61.10417475,11.85082798
22,1,64,50,0.490475733,0.447820998,0.456976688,0.355915534,0.407693744,0.570780601,0.543550495,0.588351095,0.689715468,0.742725418,1.365037935,0.759778835,1.268617885,1.234598311,0.92595841,1.04939863,0.619932085,0.525287042,b'White',100 mA,b'OK Read',10:58:40,22,57.14362716,483.9564638,6.920333308,58.60916085,11.80759664
22,2,64,50,0.554520179,0.554470441,0.593915228,0.376093705,0.42766081,0.736492407,0.560504967,0.610594252,0.715489585,0.787729916,1.546918742,0.777539825,1.555838661,1.454446275,1.089277317,1.237483994,0.641116583,0.559879907,b'White',100 mA,b'OK Read',11:10:41,22,57.14362716,483.9564638,6.920333308,58.60916085,11.80759664
22,3,64,50,0.526148545,0.474346397,0.470134088,0.381627663,0.419831194,0.574875306,0.537432405,0.589102574,0.648768832,0.745813189,1.208497063,0.737432232,1.145395066,1.05190615,0.872824108,0.998804302,0.613375646,0.548565436,b'White',100 mA,b'OK Read',11:14:24,22,57.14362716,483.9564638,6.920333308,58.60916085,11.80759664
23,1,64,50,0.475024613,0.393127259,0.377153514,0.363210793,0.401200221,0.492809223,0.549483149,0.603095463,0.645847285,0.765537398,1.193837205,0.749935837,1.115400586,0.980698544,0.856123829,0.946884866,0.622352847,0.547423911,b'White',100 mA,b'OK Read',11:53:32,23,68.3745391,566.7052588,7.131582145,59.10833416,12.06527344
23,2,64,50,0.48009568,0.409544799,0.399827032,0.356316197,0.39116766,0.506476314,0.543222478,0.588366156,0.673507988,0.747249534,1.300318453,0.737377571,1.280259052,1.138819682,0.944671627,1.049017671,0.605072082,0.533495689,b'White',100 mA,b'OK Read',12:03:05,23,68.3745391,566.7052588,7.131582145,59.10833416,12.06527344
23,3,64,50,0.508506979,0.512454343,0.578733546,0.356145057,0.40582383,0.774890267,0.567435377,0.611883371,0.809050265,0.787298262,2.078259355,0.778349119,2.007805769,1.923429021,1.274932019,1.462428276,0.632017244,0.550110779,b'White',100 mA,b'OK Read',12:10:54,23,68.3745391,566.7052588,7.131582145,59.10833416,12.06527344
24,1,64,50,0.496754535,0.410089248,0.387567509,0.370324558,0.410969871,0.500288178,0.5479839,0.603721564,0.643201141,0.75920087,1.134126268,0.740160351,1.07019048,0.972390665,0.823839267,0.913051494,0.621747495,0.550294873,b'White',100 mA,b'OK Read',12:22:44,24,75.60046389,580.6309998,7.358180698,56.51271957,13.02039745
24,2,64,50,0.476829318,0.403100444,0.398279759,0.365388676,0.403503959,0.514818006,0.551751536,0.597006298,0.641165011,0.741722873,1.323428473,0.723563429,1.155692338,1.112035573,0.88801753,1.028094052,0.607500062,0.541318058,b'White',100 mA,b'OK Read',12:31:11,24,75.60046389,580.6309998,7.358180698,56.51271957,13.02039745
24,3,64,50,0.483966087,0.439912018,0.448135883,0.360399265,0.39800013,0.568183875,0.547430254,0.589865959,0.648016495,0.735399067,1.200105412,0.709466183,1.128361401,1.083113808,0.89252464,0.987165098,0.601146979,0.543319606,b'White',100 mA,b'OK Read',12:38:56,24,75.60046389,580.6309998,7.358180698,56.51271957,13.02039745
25,1,64,50,0.529560557,0.493777888,0.526520158,0.401204972,0.459555219,0.74010253,0.572196016,0.616550858,0.767015174,0.736611513,1.799298028,0.746822132,1.719136716,1.552464291,1.014921582,1.175599456,0.628700902,0.561402396,b'White',100 mA,b'OK Read',12:52:14,25,67.47582661,395.1666671,2.198556569,12.87566697,17.07528297
25,2,64,50,0.522854051,0.455137598,0.441089927,0.378620792,0.429613687,0.581050163,0.564263132,0.611888281,0.663234698,0.735140182,1.158568832,0.74328744,1.145980702,0.997604814,0.787538101,0.897044834,0.611716,0.553578283,b'White',100 mA,b'OK Read',13:00:02,25,67.47582661,395.1666671,2.198556569,12.87566697,17.07528297
