Fruit,Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,spot,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
1,Fruit 1 spot 1,4,64,100,0.185854469,0.32008496,0.627233993,0.642028873,0.547340015,0.34470294,White LED,50 mA,b'OK Read',08:58:25,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,100,0.190708272,0.32783959,0.661014827,0.675891846,0.575312227,0.363115081,White LED,100 mA,b'OK Read',08:58:26,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,150,0.150999988,0.257299812,0.519590588,0.532148223,0.452983886,0.283413565,White LED,12.5 mA,b'OK Read',08:58:27,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,150,0.154470568,0.264909288,0.530223406,0.54355565,0.46192201,0.288746998,White LED,25 mA,b'OK Read',08:58:29,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,150,0.197295823,0.33843283,0.677074859,0.694781476,0.587181927,0.362380697,White LED,50 mA,b'OK Read',08:58:30,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,150,0.206730163,0.354216032,0.719046499,0.737686695,0.623715641,0.385549012,White LED,100 mA,b'OK Read',08:58:31,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,200,0.151283684,0.257362884,0.519515678,0.532091241,0.454168916,0.283919515,White LED,12.5 mA,b'OK Read',08:58:32,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,200,0.156324052,0.267773819,0.532698288,0.546147605,0.465893669,0.291443723,White LED,25 mA,b'OK Read',08:58:33,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,200,0.202237427,0.345760485,0.695608342,0.712979508,0.604078943,0.373042213,White LED,50 mA,b'OK Read',08:58:34,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,200,0.223459857,0.389688783,0.783270502,0.806111631,0.678234427,0.406915937,White LED,100 mA,b'OK Read',08:58:35,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,250,0.15145209,0.257039204,0.519413206,0.532014857,0.454539443,0.284200081,White LED,12.5 mA,b'OK Read',08:58:37,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,250,0.155257988,0.265486822,0.529442499,0.542700315,0.462813217,0.289370836,White LED,25 mA,b'OK Read',08:58:38,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,250,0.254084434,0.462276654,0.922614229,0.95006546,0.791307851,0.472673406,White LED,50 mA,b'OK Read',08:58:40,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,250,0.267086125,0.485222035,0.967076897,0.995668915,0.830157595,0.495839221,White LED,100 mA,b'OK Read',08:58:42,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,50,0.163907522,0.253776662,0.506712981,0.533326231,0.492681106,0.33827459,White LED,12.5 mA,b'OK Read',09:05:50,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,50,0.174057421,0.270593805,0.52921777,0.556996803,0.514808733,0.35437156,White LED,25 mA,b'OK Read',09:05:51,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,50,0.164006166,0.254602747,0.491649607,0.516944662,0.480231533,0.333472787,White LED,50 mA,b'OK Read',09:05:52,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,50,0.159365443,0.247029001,0.495892724,0.521084689,0.484565848,0.337358572,White LED,100 mA,b'OK Read',09:05:53,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,100,0.163749842,0.252893343,0.506091293,0.532530512,0.493489553,0.339422645,White LED,12.5 mA,b'OK Read',09:05:54,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,100,0.168055455,0.260248082,0.517248881,0.543715598,0.504405495,0.348227013,White LED,25 mA,b'OK Read',09:05:55,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,100,0.162432937,0.252072708,0.490371166,0.51489088,0.479471071,0.334119951,White LED,50 mA,b'OK Read',09:05:56,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,100,0.161983765,0.251188455,0.50237931,0.526860166,0.493018064,0.344370761,White LED,100 mA,b'OK Read',09:05:57,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,150,0.163899822,0.25122258,0.504346845,0.529215972,0.493711619,0.339440057,White LED,12.5 mA,b'OK Read',09:05:58,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,150,0.167970457,0.258015047,0.514247684,0.539847159,0.504180965,0.348046068,White LED,25 mA,b'OK Read',09:05:59,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,150,0.173213914,0.264880968,0.527451794,0.554470324,0.516340815,0.352393618,White LED,50 mA,b'OK Read',09:06:00,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,150,0.176342556,0.269706606,0.544613058,0.572156164,0.534931467,0.365094991,White LED,100 mA,b'OK Read',09:06:01,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,200,0.163536467,0.248571587,0.502147935,0.525837542,0.494077073,0.338750998,White LED,12.5 mA,b'OK Read',09:06:02,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,200,0.169244778,0.257990336,0.514371011,0.538949279,0.507191327,0.349287513,White LED,25 mA,b'OK Read',09:06:03,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,200,0.17623201,0.26805055,0.538530959,0.564972998,0.529675591,0.360562916,White LED,50 mA,b'OK Read',09:06:04,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,200,0.188989408,0.29366286,0.59073164,0.621238324,0.579228127,0.382473887,White LED,100 mA,b'OK Read',09:06:06,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,250,0.163132849,0.247101424,0.50037874,0.523730754,0.494091275,0.337943968,White LED,12.5 mA,b'OK Read',09:06:07,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,250,0.167674039,0.254473479,0.510592178,0.533936382,0.504120644,0.346529547,White LED,25 mA,b'OK Read',09:06:09,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,250,0.220363856,0.355158326,0.711526256,0.748543988,0.693049959,0.455028988,White LED,50 mA,b'OK Read',09:06:11,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,250,0.22504672,0.362766363,0.726954218,0.763971177,0.708415481,0.464955906,White LED,100 mA,b'OK Read',09:06:13,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,50,0.162641125,0.244703678,0.496617558,0.519512148,0.492144786,0.336099159,White LED,12.5 mA,b'OK Read',09:06:17,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,50,0.17277325,0.260647676,0.519369407,0.543057799,0.514616797,0.351833367,White LED,25 mA,b'OK Read',09:06:18,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,50,0.163097341,0.24671452,0.483992433,0.50566705,0.480164389,0.330858924,White LED,50 mA,b'OK Read',09:06:19,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,50,0.158444249,0.239631822,0.488309258,0.510137042,0.484749821,0.33471412,White LED,100 mA,b'OK Read',09:06:20,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,100,0.162664787,0.244592981,0.497900227,0.519976624,0.493309894,0.336510745,White LED,12.5 mA,b'OK Read',09:06:21,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,100,0.16681622,0.251544869,0.507985043,0.53077108,0.503180404,0.344773514,White LED,25 mA,b'OK Read',09:06:22,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,100,0.161018682,0.243629087,0.48118211,0.502277873,0.478633579,0.329927944,White LED,50 mA,b'OK Read',09:06:23,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,100,0.160801181,0.243737563,0.495116897,0.516361547,0.491400189,0.340212476,White LED,100 mA,b'OK Read',09:06:25,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,150,0.16233254,0.243715401,0.497767238,0.519363509,0.493231771,0.336158634,White LED,12.5 mA,b'OK Read',09:06:26,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,150,0.166731647,0.25126247,0.508129316,0.530805764,0.503488692,0.344972287,White LED,25 mA,b'OK Read',09:06:27,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,150,0.171235582,0.257050898,0.519184017,0.54317232,0.514516342,0.347665461,White LED,50 mA,b'OK Read',09:06:28,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,150,0.174970499,0.263241971,0.541845775,0.566821415,0.536033391,0.363239672,White LED,100 mA,b'OK Read',09:06:29,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,200,0.162270491,0.243605543,0.497598056,0.519980245,0.493536537,0.33628771,White LED,12.5 mA,b'OK Read',09:06:30,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,200,0.168258274,0.253797401,0.510674751,0.533602584,0.506668572,0.347159492,White LED,25 mA,b'OK Read',09:06:31,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,200,0.175765287,0.264575162,0.537233293,0.562933645,0.531357351,0.360377217,White LED,50 mA,b'OK Read',09:06:32,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,200,0.190294283,0.294796458,0.596029238,0.627137561,0.585517695,0.386862734,White LED,100 mA,b'OK Read',09:06:33,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,250,0.163205175,0.246349372,0.500300409,0.523660228,0.494343628,0.33882024,White LED,12.5 mA,b'OK Read',09:06:35,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,250,0.167483025,0.253477436,0.508590738,0.532297779,0.504063947,0.34633722,White LED,25 mA,b'OK Read',09:06:37,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,250,0.222143576,0.356407005,0.71699533,0.754931098,0.696998103,0.45886637,White LED,50 mA,b'OK Read',09:06:39,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,250,0.228404318,0.367477258,0.736284728,0.774929006,0.715868744,0.471153437,White LED,100 mA,b'OK Read',09:06:40,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,3,64,50,0.163183844,0.244703678,0.497200004,0.519861875,0.490357128,0.336099159,White LED,12.5 mA,b'OK Read',09:06:44,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,3,64,50,0.173365931,0.261378967,0.520509748,0.54511593,0.512793269,0.352223822,White LED,25 mA,b'OK Read',09:06:45,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,3,64,50,0.165474232,0.250243462,0.490782728,0.513424472,0.48385797,0.334986063,White LED,50 mA,b'OK Read',09:06:46,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,3,64,50,0.160962174,0.243193426,0.495101406,0.517514785,0.488674413,0.338995647,White LED,100 mA,b'OK Read',09:06:47,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
